model,model_label,ablation,horizon,task,metric,value,label_type,runnable_status,full_value,delta_vs_full,relative_delta_vs_full_pct
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,primary_mae,2.156859838836285,real_kpi,run,2.1830480169344644,-0.026188178098179193,-1.1996153036960602
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,primary_rmse,4.601636400940972,real_kpi,run,4.6350947454931966,-0.03345834455222452,-0.7218481258610041
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,primary_mape_floor1_pct,42.41108775573882,real_kpi,run,42.64245911703116,-0.23137136129233937,-0.5425844711660425
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,all_kpi_mae,30.171722806683885,real_kpi,run,31.251034914152303,-1.079312107468418,-3.4536843673603976
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,all_kpi_rmse,53.19228618984124,real_kpi,run,62.14274639934853,-8.950460209507291,-14.40306508500423
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,all_kpi_mape_floor1_pct,92.23896378440504,real_kpi,run,92.96752152222587,-0.7285577378208217,-0.7836690985105421
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,primary_mae,2.1791263051064242,real_kpi,run,2.1830480169344644,-0.003921711828040131,-0.1796438647990518
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,primary_rmse,4.635082832286612,real_kpi,run,4.6350947454931966,-1.1913206584779346e-05,-0.00025702185691808816
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,primary_mape_floor1_pct,42.73624086868329,real_kpi,run,42.64245911703116,0.09378175165213065,0.21992575849049648
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,all_kpi_mae,31.192815445316324,real_kpi,run,31.251034914152303,-0.05821946883597917,-0.18629613065906492
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,all_kpi_rmse,62.416754883585874,real_kpi,run,62.14274639934853,0.27400848423734203,0.4409339788049898
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,all_kpi_mape_floor1_pct,93.37136054033628,real_kpi,run,92.96752152222587,0.40383901811041767,0.4343872047980448
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,primary_mae,2.1831212936664874,real_kpi,run,2.1830480169344644,7.327673202306428e-05,0.0033566248408023022
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,primary_rmse,4.635146511356627,real_kpi,run,4.6350947454931966,5.176586343047518e-05,0.00111682427809719
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,primary_mape_floor1_pct,42.64248377656962,real_kpi,run,42.64245911703116,2.4659538460980457e-05,5.782860316123649e-05
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,all_kpi_mae,31.25058290103887,real_kpi,run,31.251034914152303,-0.00045201311343134876,-0.001446394062382397
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,all_kpi_rmse,62.14142346930573,real_kpi,run,62.14274639934853,-0.001322930042803705,-0.002128856736234583
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,all_kpi_mape_floor1_pct,92.96167161218227,real_kpi,run,92.96752152222587,-0.005849910043593809,-0.006292423362276324
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,primary_mae,2.183121291505942,real_kpi,run,2.1830480169344644,7.327457147754401e-05,0.0033565258715857068
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,primary_rmse,4.635146498671759,real_kpi,run,4.6350947454931966,5.175317856220829e-05,0.001116550608000603
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,primary_mape_floor1_pct,42.64248362208766,real_kpi,run,42.64245911703116,2.450505650131163e-05,5.746633052765113e-05
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,all_kpi_mae,31.250582994134486,real_kpi,run,31.251034914152303,-0.0004519200178165761,-0.001446096166280625
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,all_kpi_rmse,62.14142725857976,real_kpi,run,62.14274639934853,-0.0013191407687713763,-0.0021227590430171355
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,all_kpi_mape_floor1_pct,92.96166678112884,real_kpi,run,92.96752152222587,-0.005854741097024885,-0.006297619858162169
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,primary_mae,2.2243984789598463,real_kpi,run,2.1830480169344644,0.04135046202538195,1.8941618189162945
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,primary_rmse,4.705931652419846,real_kpi,run,4.6350947454931966,0.07083690692664923,1.5282731166504309
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,primary_mape_floor1_pct,43.48116528750038,real_kpi,run,42.64245911703116,0.8387061704692229,1.966833498432665
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,all_kpi_mae,31.67548641606741,real_kpi,run,31.251034914152303,0.42445150191510805,1.3581998262812458
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,all_kpi_rmse,61.33185910596706,real_kpi,run,62.14274639934853,-0.8108872933814695,-1.3048784296890528
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,all_kpi_mape_floor1_pct,97.44071740113604,real_kpi,run,92.96752152222587,4.473195878910175,4.811568390409077
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,primary_mae,2.490444108225166,real_kpi,run,2.5367309473402813,-0.04628683911511544,-1.824664896513617
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,primary_rmse,4.974368579542683,real_kpi,run,5.082903228427403,-0.10853464888471986,-2.1352885153845302
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,primary_mape_floor1_pct,46.80693558417895,real_kpi,run,47.16244859481408,-0.3555130106351285,-0.7538052438486417
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,all_kpi_mae,39.4850306817069,real_kpi,run,42.15853134079384,-2.6735006590869403,-6.34154125881511
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,all_kpi_rmse,67.88850300956844,real_kpi,run,102.72980173986303,-34.8412987302946,-33.91547354342344
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,all_kpi_mape_floor1_pct,124.75680478517741,real_kpi,run,125.31675910266273,-0.559954317485321,-0.446831151312006
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,primary_mae,2.5353668646050123,real_kpi,run,2.5367309473402813,-0.001364082735269001,-0.053773252409729085
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,primary_rmse,5.07862386784857,real_kpi,run,5.082903228427403,-0.004279360578832936,-0.08419126602488801
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,primary_mape_floor1_pct,47.27072329161204,real_kpi,run,47.16244859481408,0.10827469679796309,0.2295781920234498
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,all_kpi_mae,42.18747874520919,real_kpi,run,42.15853134079384,0.028947404415347933,0.06866321832074251
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,all_kpi_rmse,103.46922801197236,real_kpi,run,102.72980173986303,0.739426272109327,0.7197777661264596
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,all_kpi_mape_floor1_pct,125.86776319837654,real_kpi,run,125.31675910266273,0.5510040957138074,0.43968907244274535
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,primary_mae,2.53676108264019,real_kpi,run,2.5367309473402813,3.01352999088067e-05,0.001187958066282238
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,primary_rmse,5.082938366859887,real_kpi,run,5.082903228427403,3.513843248370563e-05,0.000691306344122099
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,primary_mape_floor1_pct,47.162126460491756,real_kpi,run,47.16244859481408,-0.0003221343223245299,-0.0006830313775522489
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,all_kpi_mae,42.158700018481376,real_kpi,run,42.15853134079384,0.0001686776875331475,0.00040010332942962357
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,all_kpi_rmse,102.72908468313751,real_kpi,run,102.72980173986303,-0.0007170567255201377,-0.0006980026373806313
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,all_kpi_mape_floor1_pct,125.31222435877645,real_kpi,run,125.31675910266273,-0.0045347438862819445,-0.0036186252491312554
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,primary_mae,2.5367610718021605,real_kpi,run,2.5367309473402813,3.0124461879221798e-05,0.0011875308223289022
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,primary_rmse,5.082938276165617,real_kpi,run,5.082903228427403,3.504773821383367e-05,0.000689522043579749
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,primary_mape_floor1_pct,47.162126178261936,real_kpi,run,47.16244859481408,-0.00032241655214448883,-0.0006836297981779116
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,all_kpi_mae,42.15870033818487,real_kpi,run,42.15853134079384,0.0001689973910288245,0.0004008616658457872
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,all_kpi_rmse,102.72908913731128,real_kpi,run,102.72980173986303,-0.0007126025517578682,-0.0006936668227612783
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,all_kpi_mape_floor1_pct,125.31222214697767,real_kpi,run,125.31675910266273,-0.004536955685054522,-0.0036203902155957698
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,primary_mae,3.054862722072654,real_kpi,run,2.5367309473402813,0.5181317747323728,20.42517655550444
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,primary_rmse,5.684027913241845,real_kpi,run,5.082903228427403,0.601124684814442,11.826404277234758
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,primary_mape_floor1_pct,56.10561044259272,real_kpi,run,47.16244859481408,8.94316184777864,18.962462964151566
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,all_kpi_mae,50.79875556930537,real_kpi,run,42.15853134079384,8.640224228511528,20.494604422215705
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,all_kpi_rmse,101.86528389899568,real_kpi,run,102.72980173986303,-0.8645178408673502,-0.8415453220249764
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,all_kpi_mape_floor1_pct,161.8930607713858,real_kpi,run,125.31675910266273,36.57630166872306,29.187079150968792
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,primary_mae,3.1446947701667414,real_kpi,run,3.197055271029092,-0.052360500862350445,-1.6377727759925857
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,primary_rmse,5.6051736725553765,real_kpi,run,5.852714542730562,-0.2475408701751851,-4.229505272602888
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,primary_mape_floor1_pct,56.843142830102366,real_kpi,run,57.26377951956528,-0.420636689462917,-0.7345597740700966
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,all_kpi_mae,50.7870953271935,real_kpi,run,54.40039464373714,-3.613299316543639,-6.642046147287685
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,all_kpi_rmse,82.16491862874177,real_kpi,run,132.263576719651,-50.09865809090924,-37.87789452957222
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,all_kpi_mape_floor1_pct,183.28180607412415,real_kpi,run,185.2803085230852,-1.9985024489610623,-1.0786372631239745
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,primary_mae,3.1904485593175256,real_kpi,run,3.197055271029092,-0.006606711711566238,-0.20664990597549537
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,primary_rmse,5.864402568859186,real_kpi,run,5.852714542730562,0.011688026128624074,0.1997026515352835
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,primary_mape_floor1_pct,57.28399594506425,real_kpi,run,57.26377951956528,0.020216425498965407,0.035304036283630345
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,all_kpi_mae,54.45092988532843,real_kpi,run,54.40039464373714,0.05053524159129097,0.09289499078497743
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,all_kpi_rmse,133.8706501480968,real_kpi,run,132.263576719651,1.6070734284457728,1.2150536589919714
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,all_kpi_mape_floor1_pct,183.66996609091865,real_kpi,run,185.2803085230852,-1.6103424321665614,-0.8691384664689928
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,primary_mae,3.19700466684475,real_kpi,run,3.197055271029092,-5.060418434199576e-05,-0.001582837331608187
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,primary_rmse,5.852670239265109,real_kpi,run,5.852714542730562,-4.43034654526997e-05,-0.0007569729418587035
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,primary_mape_floor1_pct,57.263585140684846,real_kpi,run,57.26377951956528,-0.0001943788804368296,-0.0003394447276579365
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,all_kpi_mae,54.401399347085466,real_kpi,run,54.40039464373714,0.001004703348328917,0.0018468677569503326
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,all_kpi_rmse,132.26500065036794,real_kpi,run,132.263576719651,0.001423930716924815,0.0010765856725189066
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,all_kpi_mape_floor1_pct,185.28339166280432,real_kpi,run,185.2803085230852,0.00308313971910934,0.0016640406871544005
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,primary_mae,3.197004694088823,real_kpi,run,3.197055271029092,-5.057694026877613e-05,-0.001581985170137395
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,primary_rmse,5.8526703410420104,real_kpi,run,5.852714542730562,-4.4201688551126495e-05,-0.0007552339726875584
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,primary_mape_floor1_pct,57.263584742526255,real_kpi,run,57.26377951956528,-0.00019477703902737176,-0.00034014003382508553
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,all_kpi_mae,54.40139940023781,real_kpi,run,54.40039464373714,0.001004756500670112,0.0018469654627510778
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,all_kpi_rmse,132.26500205946638,real_kpi,run,132.263576719651,0.0014253398153698527,0.0010776510440142083
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,all_kpi_mape_floor1_pct,185.28338983127819,real_kpi,run,185.2803085230852,0.0030813081929750297,0.0016630521708091341
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,primary_mae,3.3630788285337534,real_kpi,run,3.197055271029092,0.16602355750466158,5.193014928741619
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,primary_rmse,6.052988261462501,real_kpi,run,5.852714542730562,0.200273718731939,3.421894528936005
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,primary_mape_floor1_pct,61.59156628939228,real_kpi,run,57.26377951956528,4.327786769827,7.557633823922376
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,all_kpi_mae,65.45165182055655,real_kpi,run,54.40039464373714,11.051257176819412,20.314663614470106
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,all_kpi_rmse,131.98295140896144,real_kpi,run,132.263576719651,-0.2806253106895724,-0.21217127016335907
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,all_kpi_mape_floor1_pct,234.38952898863187,real_kpi,run,185.2803085230852,49.109220465546656,26.505364146361966
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,primary_mae,2.5147421488540136,real_kpi,run,2.6040875918040305,-0.0893454429500169,-3.4309691897929278
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,primary_rmse,5.050755449901819,real_kpi,run,5.442062712985392,-0.391307263083573,-7.190421788963743
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,primary_mape_floor1_pct,47.28302135514121,real_kpi,run,47.68189188633293,-0.39887053119171867,-0.8365241298364822
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,all_kpi_mae,42.069895762311056,real_kpi,run,46.45621257494944,-4.386316812638384,-9.441830423781933
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,all_kpi_rmse,74.86364319731392,real_kpi,run,126.08017775651236,-51.216534559198436,-40.622194123257394
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,all_kpi_mape_floor1_pct,132.59929066463454,real_kpi,run,136.30967695494732,-3.7103862903127833,-2.7220270586798687
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,primary_mae,2.603973118573526,real_kpi,run,2.6040875918040305,-0.0001144732305045082,-0.004395905531933537
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,primary_rmse,5.452831839768926,real_kpi,run,5.442062712985392,0.010769126783534588,0.1978868556188852
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,primary_mape_floor1_pct,47.78326162438929,real_kpi,run,47.68189188633293,0.10136973805636273,0.21259588083881875
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,all_kpi_mae,46.25468628377866,real_kpi,run,46.45621257494944,-0.20152629117077936,-0.433798366247894
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,all_kpi_rmse,127.16820785259692,real_kpi,run,126.08017775651236,1.088030096084566,0.8629668163902683
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,all_kpi_mape_floor1_pct,134.90700952975854,real_kpi,run,136.30967695494732,-1.4026674251887812,-1.029029968028159
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,primary_mae,2.6040699438305284,real_kpi,run,2.6040875918040305,-1.7647973502121772e-05,-0.0006777027607545186
