model,model_label,ablation,horizon,task,ranking_samples,hit_at_1,hit_at_3,hit_at_5,mrr,ndcg_at_5,runnable_status,note
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,ranking,2682.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,ranking,2682.0,0.808351976137211,0.9951528709917972,0.9958985831469052,0.8947924434501616,0.920380317190695,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,ranking,611.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,ranking,2682.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,ranking,2682.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
event_attention_only,Event-attention-only,event_only_baseline,1,ranking,611.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
hawkes_only,Hawkes-only,event_only_baseline,1,ranking,2682.0,0.808351976137211,0.9951528709917972,0.9958985831469052,0.8947924434501616,0.920380317190695,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic,Ridge/Logistic,baseline,1,ranking,611.0,0.9296235679214404,1.0,1.0,0.9604473540643752,0.9705975504851544,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,ranking,2671.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,ranking,2671.0,0.8068139273680269,0.9943841257955822,0.995132909022838,0.8936727817296892,0.919254616604969,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,ranking,609.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,ranking,2671.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,ranking,2671.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
event_attention_only,Event-attention-only,event_only_baseline,3,ranking,609.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
hawkes_only,Hawkes-only,event_only_baseline,3,ranking,2671.0,0.8068139273680269,0.9943841257955822,0.995132909022838,0.8936727817296892,0.919254616604969,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic,Ridge/Logistic,baseline,3,ranking,609.0,0.922824302134647,1.0,1.0,0.9575807334428024,0.9685068667780924,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,ranking,2645.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,ranking,2645.0,0.8049149338374291,0.9939508506616256,0.9947069943289224,0.8925645872715816,0.918271864254016,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,ranking,614.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,ranking,2645.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,ranking,2645.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
event_attention_only,Event-attention-only,event_only_baseline,6,ranking,614.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
hawkes_only,Hawkes-only,event_only_baseline,6,ranking,2645.0,0.8049149338374291,0.9939508506616256,0.9947069943289224,0.8925645872715816,0.918271864254016,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic,Ridge/Logistic,baseline,6,ranking,614.0,0.9169381107491856,1.0,1.0,0.955483170466884,0.9669986810144272,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,ranking,2617.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,ranking,2617.0,0.8039740160489109,0.9935040122277417,0.9942682460833014,0.8919882817475482,0.9176794885153722,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,ranking,649.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,ranking,2617.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,12,ranking,2617.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
event_attention_only,Event-attention-only,event_only_baseline,12,ranking,649.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
hawkes_only,Hawkes-only,event_only_baseline,12,ranking,2617.0,0.8039740160489109,0.9935040122277417,0.9942682460833014,0.8919882817475482,0.9176794885153722,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic,Ridge/Logistic,baseline,12,ranking,649.0,0.9275808936825886,1.0,1.0,0.9617360041088854,0.9716583365012126,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,12,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
